binary_ohe__Gender_Male,binary_ohe__OverTime_Yes,binary_ohe__Attrition_Yes,ohe__EducationBackground_Life Sciences,ohe__EducationBackground_Marketing,ohe__EducationBackground_Medical,ohe__EducationBackground_Other,ohe__EducationBackground_Technical Degree,ohe__MaritalStatus_Married,ohe__MaritalStatus_Single,ohe__EmpDepartment_Development,ohe__EmpDepartment_Finance,ohe__EmpDepartment_Human Resources,ohe__EmpDepartment_Research & Development,ohe__EmpDepartment_Sales,ohe__EmpJobRole_Data Scientist,ohe__EmpJobRole_Delivery Manager,ohe__EmpJobRole_Developer,ohe__EmpJobRole_Finance Manager,ohe__EmpJobRole_Healthcare Representative,ohe__EmpJobRole_Human Resources,ohe__EmpJobRole_Laboratory Technician,ohe__EmpJobRole_Manager,ohe__EmpJobRole_Manager R&D,ohe__EmpJobRole_Manufacturing Director,ohe__EmpJobRole_Research Director,ohe__EmpJobRole_Research Scientist,ohe__EmpJobRole_Sales Executive,ohe__EmpJobRole_Sales Representative,ohe__EmpJobRole_Senior Developer,ohe__EmpJobRole_Senior Manager R&D,ohe__EmpJobRole_Technical Architect,ohe__EmpJobRole_Technical Lead,ohe__BusinessTravelFrequency_Travel_Frequently,ohe__BusinessTravelFrequency_Travel_Rarely,scaler__Age,scaler__DistanceFromHome,scaler__EmpHourlyRate,scaler__EmpLastSalaryHikePercent,scaler__ExperienceYearsAtThisCompany,scaler__ExperienceYearsInCurrentRole,scaler__NumCompaniesWorked,scaler__TotalWorkExperienceInYears,scaler__TrainingTimesLastYear,scaler__YearsSinceLastPromotion,scaler__YearsWithCurrManager,remainder__EmpEducationLevel,remainder__EmpEnvironmentSatisfaction,remainder__EmpJobInvolvement,remainder__EmpJobLevel,remainder__EmpJobSatisfaction,remainder__EmpRelationshipSatisfaction,remainder__EmpWorkLifeBalance
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2837293265180925,-0.8722096833505628,0.5018342874400117,-1.156675167689038,-1.488698614387546,-1.7711551100586682,0.9155995994058219,-0.5212341453353716,0.9538657156134327,-0.976563525066066,-1.6615420899740658,2.0,4.0,4.0,1.0,2.0,3.0,2.0
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.395634944775428,1.0847771283966858,1.2887932879354758,-0.07303785335596177,0.40165961319364796,0.8914995868024942,-0.6912302348011908,-0.5212341453353716,-2.234820033887845,-0.10624860726743034,0.949911040600859,4.0,4.0,3.0,2.0,4.0,1.0,3.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1718237082607568,-0.8722096833505628,1.0428686002806433,-1.156675167689038,-1.488698614387546,-1.7711551100586682,1.7190145165093282,-0.9812047513137891,0.15669427823811324,-0.976563525066066,-1.6615420899740658,4.0,3.0,3.0,2.0,2.0,4.0,1.0
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.8424774203712831,0.47321874972567074,-0.9737138384889834,-0.6148565105224999,-0.23923978916701666,0.003948021182106815,0.5138921408540688,-0.06126353935695343,-0.6404771591372063,-0.976563525066066,0.0794266637425508,2.0,4.0,2.0,2.0,2.0,1.0,3.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5003899987167435,2.3078938857387166,-0.28512471305545234,2.0942367753101907,1.7176489609708852,0.8914995868024942,-1.092937693352944,1.6252953492305782,0.15669427823811324,-0.976563525066066,1.349839086859351,4.0,1.0,2.0,4.0,2.0,3.0,3.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5003899987167435,0.10628372252306158,0.3542794748471122,-0.07303785335596177,1.7810838971352259,0.7205171462656593,0.11218468230231556,1.9319424198828565,-0.6404771591372063,2.2439843640467054,0.7822165099733523,4.0,2.0,2.0,5.0,4.0,2.0,2.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.28294932908460535,-0.5052746561479536,-0.4326795256483519,-0.34394718193923085,1.3468387269842452,1.2992688392195366,-0.6912302348011908,0.7053541372737421,0.15669427823811324,1.0442451339701715,1.6527008868316604,2.0,2.0,2.0,2.0,4.0,3.0,4.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9543830386286186,-0.9945213590847658,-1.121268651081883,-0.07303785335596177,-0.543519500596949,-0.3644191610940013,-0.6912302348011908,-1.1345282866399282,-0.6404771591372063,0.4028529834629872,-0.281856995190024,2.0,3.0,3.0,1.0,4.0,2.0,3.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5067605655992764,-0.26065130467954756,0.6493891000329112,0.7396901323938455,0.8359047833446286,0.2896758058165739,-0.6912302348011908,-0.06126353935695343,0.15669427823811324,-0.10624860726743034,-0.7910577131157575,2.0,4.0,3.0,2.0,3.0,1.0,3.0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.618666183856612,0.47321874972567074,-0.9737138384889834,0.4687808038105764,-0.543519500596949,-0.8836035444382807,-0.2895227762494376,-0.21458707468309265,-0.6404771591372063,-0.10624860726743034,-0.281856995190024,4.0,2.0,3.0,2.0,1.0,3.0,1.0
